User,Bot,formatted
is any structure inflamed?,yes,"User: is any structure inflamed? 
Bot: yes
"
is there a subarachnoid bleed in the image?,no,"User: is there a subarachnoid bleed in the image? 
Bot: no
"
are there abnormal findings on this image?,yes,"User: are there abnormal findings on this image? 
Bot: yes
"
is there oral contrast in the patient's small bowel?,yes,"User: is there oral contrast in the patient's small bowel? 
Bot: yes
"
where is the liver?,right,"User: where is the liver? 
Bot: right
"
is the heart enlarged?,yes,"User: is the heart enlarged? 
Bot: yes
"
what is abnormal about the occipital lobe?,ring enhancing lesion,"User: what is abnormal about the occipital lobe? 
Bot: ring enhancing lesion
"
which ventricles are visible?,lateral ventricles,"User: which ventricles are visible? 
Bot: lateral ventricles
"
is the heart size increased?,no,"User: is the heart size increased? 
Bot: no
"
is there loculation of this lesion?,no,"User: is there loculation of this lesion? 
Bot: no
"
is there a cavitary lesion?,yes,"User: is there a cavitary lesion? 
Bot: yes
"
is there restricted diffusion?,no,"User: is there restricted diffusion? 
Bot: no
"
is there enlargement of the ventricles,yes,"User: is there enlargement of the ventricles 
Bot: yes
"
is there a midline shift?,yes,"User: is there a midline shift? 
Bot: yes
"
how do we call these wide undulations along the vertebral column?,scoliosis,"User: how do we call these wide undulations along the vertebral column? 
Bot: scoliosis
"
what is the most likely explanation for a enlarged kidney in this image?,ureteral obstruction,"User: what is the most likely explanation for a enlarged kidney in this image? 
Bot: ureteral obstruction
"
is the left renal pelvis dilated?,no,"User: is the left renal pelvis dilated? 
Bot: no
"
is this an anoxic injury?,yes,"User: is this an anoxic injury? 
Bot: yes
"
does this plane of section include the gastric cardia?,yes,"User: does this plane of section include the gastric cardia? 
Bot: yes
"
describe the intensity of the abnormality seen in this image? (central vs. surrounding),central hyperintensity and surrounding hypointensity,"User: describe the intensity of the abnormality seen in this image? (central vs. surrounding) 
Bot: central hyperintensity and surrounding hypointensity
"
what plane is this image in?,axial,"User: what plane is this image in? 
Bot: axial
"
is the lesion a solid or cystic lesion?,solid,"User: is the lesion a solid or cystic lesion? 
Bot: solid
"
what part of the cns is this image showing?,brain,"User: what part of the cns is this image showing? 
Bot: brain
"
what signs of cerebral edema are present?,sulcal effacement,"User: what signs of cerebral edema are present? 
Bot: sulcal effacement
"
what is the difference between the left and right costophrenic angles?,the left costophrenic angle is blunted,"User: what is the difference between the left and right costophrenic angles? 
Bot: the left costophrenic angle is blunted
"
in which vessel is calcification present?,aorta,"User: in which vessel is calcification present? 
Bot: aorta
"
is the mass pushing on the midbrain structures?,yes,"User: is the mass pushing on the midbrain structures? 
Bot: yes
"
which organ has the abnormality?,pancreas,"User: which organ has the abnormality? 
Bot: pancreas
"
what is the widened mediastinum caused by?,mass,"User: what is the widened mediastinum caused by? 
Bot: mass
"
is this image abnormal?,yes,"User: is this image abnormal? 
Bot: yes
"
the mass is located in what region?,suprasellar,"User: the mass is located in what region? 
Bot: suprasellar
"
does the pathology involve the cv system,yes,"User: does the pathology involve the cv system 
Bot: yes
"
is the trachea midline?,midline,"User: is the trachea midline? 
Bot: midline
"
what is seen in the right kidney?,cystic lesions,"User: what is seen in the right kidney? 
Bot: cystic lesions
"
do you see a subdural hematoma?,no,"User: do you see a subdural hematoma? 
Bot: no
"
is the mass heterogenous in consistency?,yes,"User: is the mass heterogenous in consistency? 
Bot: yes
"
which brain structures could be affected by the lesion located in the right frontal brain area?,basal ganglia (caudate and putamen),"User: which brain structures could be affected by the lesion located in the right frontal brain area? 
Bot: basal ganglia (caudate and putamen)
"
is the stomach filled?,yes,"User: is the stomach filled? 
Bot: yes
"
in what parts of the brain are the lesions located?,cerebrum and lateral ventricles,"User: in what parts of the brain are the lesions located? 
Bot: cerebrum and lateral ventricles
"
is inflammation present at the right conal fascia?,yes,"User: is inflammation present at the right conal fascia? 
Bot: yes
"
are there decreased lung markings in the right upper lung field?,yes,"User: are there decreased lung markings in the right upper lung field? 
Bot: yes
"
is the liver normal?,yes,"User: is the liver normal? 
Bot: yes
"
what are the internal morphologic features of this mass?,cystic,"User: what are the internal morphologic features of this mass? 
Bot: cystic
"
is there a pseudocyst in the pancreas?,no,"User: is there a pseudocyst in the pancreas? 
Bot: no
"
is there a pneumothorax seen in the above image?,no,"User: is there a pneumothorax seen in the above image? 
Bot: no
"
is the gyral enhancement?,yes,"User: is the gyral enhancement? 
Bot: yes
"
can the left ribs be evaluated?,no,"User: can the left ribs be evaluated? 
Bot: no
"
which rib is fractured?,3rd rib,"User: which rib is fractured? 
Bot: 3rd rib
"
is the costophrenic angle blunted?,yes,"User: is the costophrenic angle blunted? 
Bot: yes
"
where is the mass?,pancreatic body,"User: where is the mass? 
Bot: pancreatic body
"
what abnormality can be seen in the greater omentum?,omental caking,"User: what abnormality can be seen in the greater omentum? 
Bot: omental caking
"
what type of imaging does this not represent?,ultrasound,"User: what type of imaging does this not represent? 
Bot: ultrasound
"
how big is the liver lesion?,5 cm,"User: how big is the liver lesion? 
Bot: 5 cm
"
what organ contains multiple lesions in the above image?,kidneys,"User: what organ contains multiple lesions in the above image? 
Bot: kidneys
"
is there blurring of the grey-white matter junction?,no,"User: is there blurring of the grey-white matter junction? 
Bot: no
"
is this a pa film?,yes,"User: is this a pa film? 
Bot: yes
"
are the lungs normal appearing?,no,"User: are the lungs normal appearing? 
Bot: no
"
can this patient be managed with medical therapy alone?,no,"User: can this patient be managed with medical therapy alone? 
Bot: no
"
which way is the trachea deviating in this image?,left,"User: which way is the trachea deviating in this image? 
Bot: left
"
where is the mass located?,lateral ventricles,"User: where is the mass located? 
Bot: lateral ventricles
"
are the lower lung fields normal?,yes,"User: are the lower lung fields normal? 
Bot: yes
"
does this constitute a pulmonary pathology?,yes,"User: does this constitute a pulmonary pathology? 
Bot: yes
"
do you always recommend using both iv and oral contrast?,no,"User: do you always recommend using both iv and oral contrast? 
Bot: no
"
is this image in the transverse plane?,yes,"User: is this image in the transverse plane? 
Bot: yes
"
what type of mri is shown in the above image?,t2 weighted,"User: what type of mri is shown in the above image? 
Bot: t2 weighted
"
what allows for the bright areas seen in this image?,iv contrast,"User: what allows for the bright areas seen in this image? 
Bot: iv contrast
"
are there pleural effusions present?,no,"User: are there pleural effusions present? 
Bot: no
"
what is the density of the lesion?,"5.6cm focal, predominantly hypodense","User: what is the density of the lesion? 
Bot: 5.6cm focal, predominantly hypodense
"
is the opacity near the left lung apex pathologic?,no,"User: is the opacity near the left lung apex pathologic? 
Bot: no
"
is the small bowel filled with contrast?,yes,"User: is the small bowel filled with contrast? 
Bot: yes
"
where are the infarcts located?,right cerebellum,"User: where are the infarcts located? 
Bot: right cerebellum
"
is fat stranding present?,no,"User: is fat stranding present? 
Bot: no
"
"is this a t1 weighted, t2 weighted, or flair image?",flair,"User: is this a t1 weighted, t2 weighted, or flair image? 
Bot: flair
"
what organ system is pictured?,the brain,"User: what organ system is pictured? 
Bot: the brain
"
where is the intussesception located?,small bowel,"User: where is the intussesception located? 
Bot: small bowel
"
is this a viral or parasitic process?,parasitic,"User: is this a viral or parasitic process? 
Bot: parasitic
"
what side is the pathology?,right sided pleural effusion,"User: what side is the pathology? 
Bot: right sided pleural effusion
"
have brain structures crossed the midline of the brain?,yes,"User: have brain structures crossed the midline of the brain? 
Bot: yes
"
is there anything wrong with the lungs?,no,"User: is there anything wrong with the lungs? 
Bot: no
"
what is evinced by this brain image?,loss of normal gray-white matter junction,"User: what is evinced by this brain image? 
Bot: loss of normal gray-white matter junction
"
is this a ct scan?,no,"User: is this a ct scan? 
Bot: no
"
is the lesion in this image more or less dense than the surrounding tissue?,less dense,"User: is the lesion in this image more or less dense than the surrounding tissue? 
Bot: less dense
"
is the cerebellum seen on this axial section?,no,"User: is the cerebellum seen on this axial section? 
Bot: no
"
is the right renal vein visualized?,no,"User: is the right renal vein visualized? 
Bot: no
"
about how often do you see bilateral wilms tumor?,5%,"User: about how often do you see bilateral wilms tumor? 
Bot: 5%
"
what is most alarming about the appendix?,extraluminal air and small fluid collection,"User: what is most alarming about the appendix? 
Bot: extraluminal air and small fluid collection
"
is this cancer or hemorrhage?,cancer,"User: is this cancer or hemorrhage? 
Bot: cancer
"
are there increased interstitial markings?,yes,"User: are there increased interstitial markings? 
Bot: yes
"
is there contrast in the patient's vasculature?,yes,"User: is there contrast in the patient's vasculature? 
Bot: yes
"
is this a contrast enhanced image?,yes,"User: is this a contrast enhanced image? 
Bot: yes
"
what is the location of the primary lesion?,right lung hilum,"User: what is the location of the primary lesion? 
Bot: right lung hilum
"
is this a t1 weighted image?,no,"User: is this a t1 weighted image? 
Bot: no
"
